ANT1,18.60,10.60,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,4.05,8.05,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-12.25,1.55,135.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,5.10,13.05,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,3.80,6.00,270.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,-5.25,8.90,180.50,,NORDIC_NRF_3_RESC0201_L
C13,0.20,7.45,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,-5.25,9.70,181.10,4.7uF,NORDIC_NRF_3_RESC0201_L
C15,5.10,5.25,131.50,1.0uF,NORDIC_NRF_3_RESC0201_L
C16,5.75,6.00,136.10,47nF,NORDIC_NRF_3_RESC0201_L
C17,15.25,15.50,0.00,12pF,GRM011R60J152KE01L_1_0201
C18,-6.60,3.85,0.00,12pF,GRM011R60J152KE01L_1_0201
C19,17.05,-14.85,210.00,,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,9.75,12.75,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-7.45,9.95,236.30,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,-0.50,-2.80,270.00,4.7uF,GRM011R60J152KE01L_1_0201
C21,13.00,6.20,30.90,4.7uF,GRM011R60J152KE01L_1_0201
C22,3.30,-15.65,43.10,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C23,-14.15,-9.90,90.00,0.1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C24,-21.90,-13.60,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,-9.30,-4.30,0.00,22uF,GRM011R60J152KE01L_2_CAPC0201X13N
C27,-10.20,-8.40,303.70,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,-6.20,-14.70,270.00,1uF,NORDIC_NRF_3_RESC0201_L
C3,6.60,3.90,220.50,1pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C30,-18.80,-14.60,120.90,1uF,NORDIC_NRF_3_RESC0201_L
C31,5.70,-13.25,270.00,1uF,NORDIC_NRF_3_RESC0201_L
C32,4.75,-4.90,0.00,1uF,NORDIC_NRF_3_RESC0201_L
C33,-9.45,-5.60,0.00,22uF,GRM011R60J152KE01L_2_CAPC0201X13N
C34,2.85,-9.95,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C37,14.35,1.85,90.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C38,15.40,5.55,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C39,15.35,4.20,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C4,2.45,-14.45,42.50,1pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C42,2.10,10.05,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C43,-1.15,9.25,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C5,-5.40,5.35,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,20.05,3.70,311.20,4.7uF,GRM011R60J152KE01L_1_0201
C7,7.20,-2.00,0.00,100nF,GRM011R60J152KE01L_1_0201
C8,19.25,-12.40,311.50,100nF,GRM011R60J152KE01L_1_0201
C9,4.85,1.65,2.30,"820pF N.C.",ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,-20.40,12.15,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D2,-16.70,12.85,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,7.95,15.10,180.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-8.60,13.55,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-11.90,4.85,270.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C10,-12.10,-5.35,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C11,-12.10,-6.35,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C12,-12.10,-7.45,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C2,-12.55,6.15,270.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C3,-12.00,-4.35,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C5,-12.00,-0.95,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-12.00,-1.85,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C7,-12.00,-2.75,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C8,-12.00,-3.55,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
IC1,2.50,-7.40,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC2,11.55,3.60,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC3,-7.65,0.15,0.00,BMA423,BMA423_BMA423
IC4,-3.80,-4.85,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,13.52,-5.85,0.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J2,-15.80,0.15,270.00,503480-2400,503480-2400_5034802400
J3,-0.90,13.94,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,13.15,10.05,90.00,3.9nH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L2,-4.15,7.80,22.90,10uH,NORDIC_NRF_2_RESC0402_L
L3,-1.70,8.40,0.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-12.80,13.25,0.00,68uH,LPS3015
L7,1.10,-4.45,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,-5.80,-11.70,90.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,-10.70,9.25,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R10,-2.75,-11.20,90.00,10K,CPF0201D7K68C1_0201
R11,-20.20,8.45,0.00,10k,CPF0201D7K68C1_0201
R1_EP_DR,-11.00,5.05,180.00,0.47,CPF0201D7K68C1_0201
R1_EP_DR1,-22.25,-10.90,90.00,10k,CPF0201D7K68C1_0201
R1_USB,2.55,8.85,226.90,5K1,ERA-1AEB3401C_0201
R2,-8.90,-3.25,293.20,0,CPF0201D7K68C1_0201
R2_USB,-2.15,10.25,48.30,5K1,CPF0201D7K68C1_0201
R4,9.25,6.40,273.70,0,CPF0201D7K68C1_0201
R5,-19.95,-15.55,213.70,10k,CPF0201D7K68C1_0201
R7,-10.75,1.55,45.60,0,CPF0201D7K68C1_0201
R8,-0.20,-11.75,180.00,10k,CPF0201D7K68C1_0201
R9,12.10,1.90,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-19.80,-8.75,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-22.45,-9.10,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-2.15,-13.98,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,8.85,-13.98,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-13.20,-13.98,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,11.65,-11.85,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,13.50,-15.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-22.80,8.65,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-9.30,-15.45,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,5.45,-9.15,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,5.55,-6.55,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,7.75,-10.85,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,19.20,0.85,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,16.90,0.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,3.40,-1.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-8.65,-10.35,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-19.50,-10.95,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,-4.30,-7.95,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
U2,-1.00,2.85,0.00,NRF52840-QIAA-R,NRF52840-QIAA
X1,7.80,10.50,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-8.60,5.40,90.00,32.768KHz,NORDIC_NRF_1_XTAL_3215_N
