ANT1	18.40	9.05	0.00	2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	3.40	6.70	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	-10.80	-4.25	270.40	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10	4.80	10.65	270.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	3.80	5.35	313.80	100pF	NORDIC_NRF_3_RESC0201_L
C12	-5.40	9.15	210.20	100nF	NORDIC_NRF_3_RESC0201_L
C13	-0.15	7.50	90.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	-5.95	10.05	211.00	4.7uF	NORDIC_NRF_3_RESC0201_L
C15	5.05	5.40	135.90	1.0uF	NORDIC_NRF_3_RESC0201_L
C16	5.60	5.95	136.10	47nF	NORDIC_NRF_3_RESC0201_L
C17	14.70	15.60	0.00	GRM011R60J152KE01L_1_GRM011R60J152KE01L	GRM011R60J152KE01L_1_0201
C18	-6.15	3.90	305.50	12pF	GRM011R60J152KE01L_1_0201
C19	16.40	-15.15	210.00	100nF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C2	4.95	12.55	180.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	-8.70	10.90	209.80	4.7uF/25V	NORDIC_NRF_3_RESC0201_L
C20	-0.20	-2.85	270.00	4.7uF	GRM011R60J152KE01L_1_0201
C21	11.25	7.05	30.90	4.7uF	GRM011R60J152KE01L_1_0201
C22	3.45	-15.50	43.10	N.C.	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C23	-17.50	-11.45	90.00	0.1uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C24	-21.90	-13.60	0.00	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25	-9.40	-7.30	0.00	22uF	GRM011R60J152KE01L_2_CAPC0201X13N
C27	-8.10	-9.95	33.70	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C29	-6.20	-14.70	270.00	1uF	NORDIC_NRF_3_RESC0201_L
C3	4.75	3.70	181.20	1pF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C30	-12.40	-8.80	223.40	1uF	NORDIC_NRF_3_RESC0201_L
C31	5.70	-13.25	270.00	1uF	NORDIC_NRF_3_RESC0201_L
C32	4.75	-4.90	0.00	1uF	NORDIC_NRF_3_RESC0201_L
C33	-9.40	-8.60	0.00	22uF	GRM011R60J152KE01L_2_CAPC0201X13N
C34	2.85	-9.95	0.00	0.1uF	NORDIC_NRF_3_RESC0201_L
C37	14.35	1.85	90.00	1uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C38	14.00	6.10	0.00	1uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C39	14.65	4.70	0.00	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C4	2.45	-14.45	42.50	1pF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C42	2.10	10.05	0.00	0.1uF	NORDIC_NRF_3_RESC0201_L
C43	-0.60	9.15	0.00	4.7uF	NORDIC_NRF_3_RESC0201_L
C5	-5.85	6.65	90.00	100nF	NORDIC_NRF_3_RESC0201_L
C6	-10.45	-11.35	0.00	4.7uF	GRM011R60J152KE01L_1_0201
C7	7.20	-2.00	0.00	100nF	GRM011R60J152KE01L_1_0201
C8	19.25	-12.40	311.50	100nF	GRM011R60J152KE01L_1_0201
C9	5.10	1.80	0.70	820pF N.C.	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
D1	-16.00	13.60	270.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D2	-19.45	13.45	90.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D3	7.95	15.10	180.00	USBLC6-2SC6Y	ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4	-8.45	14.15	270.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1	-12.60	-3.85	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C10	-12.60	3.40	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C11	-12.60	4.80	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C12	-12.60	6.40	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C2	-12.55	-5.20	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C3	-12.60	1.90	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C5	-10.70	-2.15	0.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C6	-12.60	-2.40	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C7	-12.60	-0.85	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
EPD_C8	-12.60	0.55	180.00	1uF/50V	NORDIC_NRF_3_RESC0201_L
IC1	2.50	-7.50	0.00	DRV2605YZFR	DRV2605YZFR_BGA9C50P3X3_144X144X62
IC2	11.55	3.60	0.00	BQ25180YBGR	BQ25180YBGR_BGA8C40P2X4_100X155X50
IC3	-7.80	0.15	0.00	BMA423	BMA423_BMA423
IC4	-3.80	-4.85	0.00	RT6160AWSC	RT6160AWSC_BGA15C40P3X5_140X230X60
J1	13.52	-5.85	0.00	TC2030-IDC	TC2030-IDC_TC2030IDC
J2	-15.15	0.00	90.00	503480-2400	503480-2400_5034802400
J3	-0.90	13.94	180.00	KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1	11.45	10.30	180.00	3.9nH	ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L2	-3.45	9.45	31.70	10uH	NORDIC_NRF_2_RESC0402_L
L3	-2.90	8.55	32.60	15nH	NORDIC_NRF_2_RESC0402_L
L5	-12.30	14.30	0.00	68uH	LPS3015
L7	-0.15	-4.45	0.00	FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
Q1	-5.80	-11.70	90.00	20V/4.2A/52mΩ/1.4W	ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2	-11.30	9.80	0.00	SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R10	-2.75	-11.20	90.00	10K	CPF0201D7K68C1_0201
R11	3.05	1.15	180.00	10k	CPF0201D7K68C1_0201
R1_EP_DR	-11.05	7.55	180.00	0.47	CPF0201D7K68C1_0201
R1_EP_DR1	-22.25	-10.90	90.00	10k	CPF0201D7K68C1_0201
R1_USB	2.55	8.85	226.90	5K1	ERA-1AEB3401C_0201
R2	-8.30	-3.05	293.20	0	CPF0201D7K68C1_0201
R2_USB	-1.15	10.15	48.30	5K1	CPF0201D7K68C1_0201
R4	8.65	5.30	273.70	0	CPF0201D7K68C1_0201
R5	-11.60	-9.50	312.60	10k	CPF0201D7K68C1_0201
R7	-10.75	1.55	45.60	0	CPF0201D7K68C1_0201
R8	10.00	-11.70	180.00	10k	CPF0201D7K68C1_0201
R9	11.25	1.95	0.00	10K	CPF0201D7K68C1_0201
R_TYPE_SEL	-16.95	-8.50	0.00	2.2	CPF0201D7K68C1_0201
SJ1	-22.70	-8.70	0.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	-2.15	-13.98	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	8.85	-13.98	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	-13.20	-13.98	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	-22.65	12.45	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	13.40	-15.20	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	-22.85	9.10	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	-9.20	-15.80	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	5.70	-9.55	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	5.55	-6.55	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	15.65	-12.05	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	19.25	1.10	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	17.20	0.10	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	3.45	-1.80	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	-6.55	-8.60	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	-20.20	-10.45	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	-3.60	-7.95	0.00	MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
U2	-1.00	2.85	0.00	NRF52840-QIAA-R	NRF52840-QIAA
X1	7.00	10.50	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	-8.95	7.05	90.00	32.768KHz	NORDIC_NRF_1_XTAL_3215_N
